Key,StatKey,Name,MaxLevel,Hp,Mp,Atk,BaseSkill,Ultimate,CriRate,Range,AtkCoolTime,UltCoolTime,CanUseUlt
2068,3013,Sein,5,90,100,9,1.25,1.5,0.25,5,1,30,TRUE
2069,3013,Sein,5,90,100,9,1.25,1.5,0.25,5,1,30,TRUE
2070,3014,Chris,5,80,100,10,1.25,1.5,0.25,7,1,0,FALSE
2071,3014,Chris,5,80,100,10,1.25,1.5,0.25,7,1,0,FALSE
2072,3014,Chris,5,80,100,10,1.25,1.5,0.25,7,1,30,TRUE
2073,3014,Chris,5,80,100,10,1.25,1.5,0.25,7,1,30,TRUE
2074,3014,Chris,5,80,100,10,1.25,1.5,0.25,7,1,30,TRUE
2075,3015,Silphi,5,70,100,11,1.25,1.5,0.35,0.75,1,0,FALSE
2076,3015,Silphi,5,70,100,11,1.25,1.5,0.35,0.75,1,0,FALSE
2077,3015,Silphi,5,70,100,11,1.25,1.5,0.35,0.75,1,30,TRUE
2078,3015,Silphi,5,70,100,11,1.25,1.5,0.35,0.75,1,30,TRUE
2079,3015,Silphi,5,70,100,11,1.25,1.5,0.35,0.75,1,30,TRUE
2080,3016,Hilde,5,60,100,12,1.25,1.5,0.3,5,1,0,FALSE
2081,3016,Hilde,5,60,100,12,1.25,1.5,0.3,5,1,0,FALSE
2082,3016,Hilde,5,60,100,12,1.25,1.5,0.3,5,1,30,TRUE
2083,3016,Hilde,5,60,100,12,1.25,1.5,0.3,5,1,30,TRUE
2084,3016,Hilde,5,60,100,12,1.25,1.5,0.3,5,1,30,TRUE
2085,3017,Elena,5,50,100,13,1.25,1.5,0.3,7,1,0,FALSE
2086,3017,Elena,5,50,100,13,1.25,1.5,0.3,7,1,0,FALSE
2087,3017,Elena,5,50,100,13,1.25,1.5,0.3,7,1,30,TRUE
2088,3017,Elena,5,50,100,13,1.25,1.5,0.3,7,1,30,TRUE
2089,3017,Elena,5,50,100,13,1.25,1.5,0.3,7,1,30,TRUE
